HOOD_ID,join,Assault_2014,Auto Theft_2014,Bike Theft_2014,Break and Enter_2014,Homicide_2014,Robbery_2014,Shooting (Non-Fatal)_2014,Theft From Motor Vehicle_2014,Theft Over_2014,Assault_2015,Auto Theft_2015,Bike Theft_2015,Break and Enter_2015,Homicide_2015,Robbery_2015,Shooting (Non-Fatal)_2015,Theft From Motor Vehicle_2015,Theft Over_2015,Assault_2016,Auto Theft_2016,Bike Theft_2016,Break and Enter_2016,Homicide_2016,Robbery_2016,Shooting (Non-Fatal)_2016,Theft From Motor Vehicle_2016,Theft Over_2016,Assault_2017,Auto Theft_2017,Bike Theft_2017,Break and Enter_2017,Homicide_2017,Robbery_2017,Shooting (Non-Fatal)_2017,Theft From Motor Vehicle_2017,Theft Over_2017,Assault_2018,Auto Theft_2018,Bike Theft_2018,Break and Enter_2018,Homicide_2018,Robbery_2018,Shooting (Non-Fatal)_2018,Theft From Motor Vehicle_2018,Theft Over_2018,Assault_2019,Auto Theft_2019,Bike Theft_2019,Break and Enter_2019,Homicide_2019,Robbery_2019,Shooting (Non-Fatal)_2019,Theft From Motor Vehicle_2019,Theft Over_2019,Assault_2020,Auto Theft_2020,Bike Theft_2020,Break and Enter_2020,Homicide_2020,Robbery_2020,Shooting (Non-Fatal)_2020,Theft From Motor Vehicle_2020,Theft Over_2020,Assault_2021,Auto Theft_2021,Bike Theft_2021,Break and Enter_2021,Homicide_2021,Robbery_2021,Shooting (Non-Fatal)_2021,Theft From Motor Vehicle_2021,Theft Over_2021,Assault_2022,Auto Theft_2022,Bike Theft_2022,Break and Enter_2022,Homicide_2022,Robbery_2022,Shooting (Non-Fatal)_2022,Theft From Motor Vehicle_2022,Theft Over_2022,Assault_2023,Auto Theft_2023,Bike Theft_2023,Break and Enter_2023,Homicide_2023,Robbery_2023,Shooting (Non-Fatal)_2023,Theft From Motor Vehicle_2023,Theft Over_2023,Assault_2024,Auto Theft_2024,Bike Theft_2024,Break and Enter_2024,Homicide_2024,Robbery_2024,Shooting (Non-Fatal)_2024,Theft From Motor Vehicle_2024,Theft Over_2024
142,142,122,27,1,49,1,34,0,53,7,133,11,2,70,0,31,2,56,9,131,22,2,31,0,27,2,48,10,146,23,6,39,0,43,3,59,11,140,25,3,58,0,27,2,62,10,171,39,2,53,0,14,2,77,6,141,56,0,22,1,19,1,68,12,132,47,4,24,0,7,3,72,6,147,92,8,28,1,22,6,80,11,137,84,13,30,2,21,3,77,10,26,19,0,8,0,6,3,41,1
143,143,86,30,7,35,0,12,0,66,3,62,29,4,33,0,13,1,35,2,67,8,12,37,0,13,1,47,3,97,10,7,41,0,21,0,65,6,86,20,22,44,0,15,1,55,7,85,44,8,22,0,25,2,38,4,67,23,7,16,1,27,1,57,4,65,45,5,23,1,12,4,30,4,68,87,4,24,0,14,3,64,5,76,104,4,24,1,25,4,46,6,10,24,0,5,0,0,1,9,1
144,144,99,33,3,39,1,14,1,40,8,119,25,5,39,0,24,3,35,8,103,17,1,40,0,22,5,34,10,108,28,1,30,4,27,3,63,7,117,47,2,45,0,22,3,44,11,117,52,2,35,0,21,3,47,9,94,40,1,19,0,13,4,77,7,82,74,1,23,2,16,2,53,6,95,113,2,22,1,27,3,52,15,123,155,1,34,0,19,7,58,8,28,41,0,13,0,7,2,13,1
145,145,76,6,2,27,0,17,2,37,4,87,17,2,19,0,18,2,28,3,101,17,3,24,0,30,3,34,3,108,27,4,11,0,33,2,43,3,86,25,2,24,2,19,4,40,10,123,37,4,23,1,19,7,43,9,74,25,4,11,0,7,6,28,0,86,21,1,14,1,16,4,23,3,88,52,3,6,0,13,2,28,3,84,53,1,14,0,18,3,42,3,17,17,0,6,0,4,0,1,0
146,146,142,17,5,38,0,23,2,31,6,189,13,3,24,0,28,7,20,1,181,17,7,43,4,34,7,28,4,198,28,3,22,2,30,7,51,3,172,31,2,41,1,30,4,30,4,219,40,2,21,0,23,5,39,5,168,41,3,14,1,18,8,64,6,135,45,8,22,2,20,5,28,1,124,49,1,19,0,20,3,76,7,131,66,7,35,0,19,3,61,2,31,15,0,4,0,4,1,6,3
147,147,59,12,2,29,1,24,1,37,1,63,12,1,30,0,26,3,32,2,93,16,5,27,1,21,4,22,2,107,14,5,33,1,27,10,35,3,84,18,7,36,0,20,6,36,3,114,28,6,38,0,21,6,27,1,83,19,5,20,3,12,6,32,6,89,19,7,10,0,6,3,34,4,92,29,4,13,1,9,4,52,6,103,59,6,26,1,20,1,38,3,25,7,0,4,0,4,0,3,1
148,148,58,11,0,38,0,31,1,43,5,87,10,2,51,0,18,1,32,5,88,13,2,21,1,17,1,34,2,75,10,1,38,0,21,1,26,4,79,11,4,35,0,20,1,35,5,90,12,2,40,0,45,3,32,3,103,13,1,22,0,12,3,35,2,73,17,2,16,0,5,2,18,5,74,48,3,29,0,7,1,35,10,84,63,9,24,0,7,3,42,7,14,33,0,12,0,5,1,8,2
149,149,18,8,0,15,0,4,1,25,1,34,14,2,19,0,1,0,26,3,39,6,0,17,0,10,1,28,1,43,14,6,24,0,10,3,38,3,37,6,2,22,1,4,0,21,2,36,7,1,25,0,5,0,25,1,24,19,1,23,0,3,1,22,0,41,17,5,13,0,10,1,24,0,39,34,0,15,0,6,2,21,1,54,44,2,24,0,4,2,15,2,6,10,0,6,0,1,1,6,2
15,15,21,15,13,26,0,8,0,26,3,27,16,18,24,0,14,0,31,3,28,7,13,27,0,10,0,18,1,11,24,5,27,0,7,0,22,5,16,10,3,15,0,11,0,24,2,25,25,4,28,0,10,1,22,4,9,14,7,18,0,5,0,12,2,17,35,7,10,0,8,0,16,3,18,63,5,15,0,8,0,16,1,36,88,7,43,0,8,0,11,7,6,10,0,11,0,0,0,4,0
150,150,107,21,2,46,0,8,0,59,5,103,17,5,37,0,16,2,61,3,121,18,6,26,0,19,2,49,3,107,30,8,31,0,28,4,57,4,95,11,2,48,0,18,1,25,3,102,19,4,33,1,26,1,71,2,109,20,2,26,0,5,3,51,3,71,32,3,22,1,11,3,43,3,103,39,3,9,0,9,4,63,1,126,42,6,20,1,13,1,36,9,19,20,0,4,0,0,1,4,1
151,151,96,11,22,11,0,12,0,14,5,121,10,23,15,0,13,0,12,8,114,10,51,18,0,25,1,18,9,126,15,10,16,0,24,0,26,10,120,26,15,12,0,34,0,36,7,133,40,15,29,0,17,0,87,20,108,39,33,36,0,33,0,92,14,105,51,19,21,0,46,0,109,13,138,45,35,21,0,9,0,76,14,145,65,26,21,1,29,0,131,32,31,20,2,2,0,12,0,15,7
152,152,52,16,7,62,0,13,1,25,3,43,17,6,66,0,19,0,15,6,55,30,12,47,0,18,0,34,5,54,15,8,71,0,26,0,35,8,62,14,3,51,0,29,1,36,4,68,33,7,60,0,30,2,46,8,42,24,13,36,0,14,2,68,5,58,42,11,24,0,6,0,52,6,68,55,8,41,0,10,2,72,16,61,91,10,70,0,22,2,91,15,14,14,0,21,0,13,1,8,2
